Team Name,Team Code,Conf Code,Conf Name,Tot Off Pts,Tot Def Pts,Off Pts Per Drive,Def Pts Per Drive,Tot Off Yards,Tot Def Yards,Off Yards Per Drive,Def Yards Per Drive,Tot Expected Off Pts,Tot Expected Def Pts,Off Expected Pts Per Drive,Def Expected Pts Per Drive,Tot Expected Off Yds,Tot Expected Def Yds,Off Expected Yds Per Drive,Def Expected Yds Per Drive,Off Pts Per Drive over Expected,Def Pts Per Drive over Expected,Off Yards Per Drive over Expected,Def Yards Per Drive over Expected
Cincinnati,140,823,American Athletic Conference,359,235,2.76153846154,1.88,5218,3342,40.1384615385,26.736,263.232209132,269.977037581,2.02486314717,2.15981630065,4020.73985696,3748.11851193,30.9287681305,29.9849480954,0.736675314372,-0.279816300651,9.20969340796,9.20969340796
Clemson,147,821,Atlantic Coast Conference,342,143,2.671875,1.13492063492,4470,2683,34.921875,21.2936507937,270.891975496,259.131105069,2.11634355857,2.05659607197,3910.51542278,3885.04688678,30.5509017405,30.8337054507,0.555531441434,-0.921675437054,4.37097325953,4.37097325953
Colorado State,156,5486,Mountain West Conference,247,233,2.09322033898,1.97457627119,3551,3538,30.093220339,29.9830508475,259.185589396,236.862342431,2.19648804573,2.00730798671,3531.71485638,3662.24935181,29.9297869185,31.0360114561,-0.10326770675,-0.032731715521,0.163433420526,0.163433420526
Colorado,157,905,Pac-12 Conference,242,268,2.01666666667,2.16129032258,3562,3782,29.6833333333,30.5,251.553853476,280.550783199,2.0962821123,2.26250631612,3675.5011919,3648.81604379,30.6291765991,29.425935837,-0.0796154456295,-0.101215993538,-0.9458432658,-0.9458432658
Connecticut,164,823,American Athletic Conference,197,198,1.62809917355,1.63636363636,3356,3425,27.7355371901,28.305785124,253.464635028,266.819410193,2.09474904982,2.2051190925,3705.95170143,3613.02228201,30.6277000119,29.8596882811,-0.466649876262,-0.56875545614,-2.89216282177,-2.89216282177
Duke,193,821,Atlantic Coast Conference,230,140,2.09090909091,1.30841121495,3321,2721,30.1909090909,25.4299065421,257.548268131,209.558504615,2.3413478921,1.95849069733,3186.24505567,3368.97998591,28.9658641425,31.4857942609,-0.250438801193,-0.650079482379,1.22504494842,1.22504494842
East Carolina,196,823,American Athletic Conference,256,306,1.92481203008,2.25,3856,4068,28.992481203,29.9117647059,283.244669884,287.61043118,2.12965917206,2.1147825822,4021.69132892,4139.46352967,30.2382806686,30.4372318358,-0.204847141984,0.135217417797,-1.24579946558,-1.24579946558
Eastern Michigan,204,875,Mid-American Conference,261,423,2.10483870968,3.46721311475,3848,5191,31.0322580645,42.5491803279,258.68203774,260.651898613,2.08614546565,2.13649097224,3802.72597089,3707.00363047,30.6671449266,30.3852756596,0.0186932440292,1.33072214252,0.365113137945,0.365113137945
Florida Atlantic,229,24312,Conference USA,214,247,1.91071428571,2.18584070796,3726,3972,33.2678571429,35.1504424779,235.655686425,232.053341067,2.10406862879,2.05356938998,3412.90514901,3473.3084852,30.4723674019,30.7372432319,-0.193354343077,0.132271317987,2.79548974099,2.79548974099
Florida International,231,24312,Conference USA,214,216,2.16161616162,2.13861386139,2944,3313,29.7373737374,32.801980198,223.097312323,226.327817139,2.25350820529,2.24086947663,2928.61822742,2980.86030154,29.5820022972,29.5134683321,-0.0918920436697,-0.102255615241,0.155371440169,0.155371440169
Florida State,234,821,Atlantic Coast Conference,276,152,2.53211009174,1.42056074766,3643,3107,33.4220183486,29.0373831776,231.505879384,205.829896219,2.12390715032,1.9236438899,3320.60269232,3399.55439065,30.4642448837,31.7715363612,0.408202941427,-0.503083142235,2.95777346493,2.95777346493
Florida,235,911,Southeastern Conference,242,146,2.08620689655,1.25862068966,3131,2592,26.9913793103,22.3448275862,273.356404601,224.813588503,2.35652072932,1.93804817675,3328.90403949,3666.43113787,28.6974486163,31.6071649817,-0.270313832765,-0.679427487092,-1.70606930591,-1.70606930591
Georgia State,254,818,Sun Belt Conference,227,261,2.10185185185,2.50961538462,3586,3604,33.2037037037,34.6538461538,211.622267917,233.620580447,1.95946544367,2.24635173507,3393.41415257,3065.87350035,31.4205014127,29.479552888,0.14238640818,0.263263649549,1.78320229098,1.78320229098
Georgia Southern,253,818,Sun Belt Conference,299,184,2.9603960396,1.85858585859,3426,2791,33.9207920792,28.1919191919,236.248853401,205.895623883,2.33909755842,2.07975377659,2910.11238344,3035.89003472,28.8129938954,30.6655559062,0.621298481182,-0.221167918008,5.10779818378,5.10779818378
